seq,Credit_Default,BE_SCORE_ON_OD,BNI_SCORE_ON_OD,BUSAGE,BUSSTRUC,MAXLINEUTIL,AVGLINEUTIL12,MAXLINEBALRT,MAXTIMESLBAL12,DAYSDELQ,TOTDAYSDELQ12,TOTACBAL,MAXDELQ,TOTDELQ12,DEPOSITRT,AVGDEPRT12,ALL_OPEN_TRADE_UT,BR_OPEN_TRADE_UT,BR_TRADE_PAST_DUE
8,1,0,969,55,2,0.9469,0.8659,1.0025,1,0,0,57254.41,0,0,0.0882,0.17,,,
10,1,499,364,71,1,0.9734,0.874866,0.9808,0,0,0,24521.04,4,4,0,0.5091,70,70,2
8,1,645,146,180,2,0.9863,0.73259,1.0078,6,0,0,29591.57,0,0,0.0382,0.234,71,74,0
4,1,519,821,78,2,0.9957,0.99655,1.0283,8,0,0,38563.63,0,1,0.0249,0.1113,47,64,0
7,1,636,703,13,1,,,,,0,0,,,,,,71,71,0
7,1,725,966,103,1,0.3386,0.409366,0.3386,0,0,0,25395.24,3,8,0,0.2031,15,13,0
8,1,753,940,45,1,0.3895,0.314328,0.5492,0,0,0,27265.07,0,0,0.4757,1.6042,41,47,0
8,1,0,968,138,1,0.0668,0.082991,0.0668,0,0,0,3344.01,2,8,0,0.0701,,,
9,1,671,941,12,2,0.9885,0.96635,0.9985,4,0,0,14978.71,1,10,0.0128,0.0094,44,2,0
3,1,562,845,51,1,1.013,0.79965,1.0212,2,0,0,30636.52,4,5,0,0.2024,53,99,0
4,1,531,779,13,2,1.0003,0.38994,1.0003,1,0,0,,,,,,97,97,1
6,1,515,543,,,0.7157,0.65411,1.0081,3,0,0,17893.55,0,0,1.5072,3.3501,98,112,0
6,1,713,834,236,1,0.8753,0.824116,0.982,2,0,1,6564.92,0,0,6.7341,7.1859,81,83,0
3,1,560,226,52,1,0.9693,0.981708,0.9693,3,0,0,19386.14,7,8,0,0.3562,57,60,1
6,1,658,949,44,2,0.7945,0.809916,0.8048,5,30,1,3219.55,2,4,0,0.1468,71,0,0
9,1,732,889,46,4,0.1017,0.10605,0.1017,0,0,0,610.48,0,0,0,0,47,20,0
4,1,734,962,145,3,0,0,0,0,0,0,,,,,,,,0
